# EP10 对白审查稿：失忆
> 生成自 EP10_剧本.md · 2026-08-08 · 派生产物（剧本改后重跑本脚本），仅供人工审查

## SEG01 — 空白（对白段·刺探式）
  （SCENE-009 江野公寓）
 S01 江野[开口]：我八岁以前的事，不记得了。
 S01 林小满[转过身]：完全不记得？
 S01 江野[摇头]：一片空白。
 S02 江野[低沉]：医生说，是创伤性失忆。八岁那年，我出了场事故。
 S03 林小满[轻声]：什么事故？
 S03 江野[沉默片刻]：只记得醒来的时候，躺在医院里。

## SEG02 — 收养（对白段·信息钩）
 S04 林小满[追问]：那雷震呢？他怎么成了你监护人？
 S04 江野[平淡]：他说医院门口捡到我，一个孤儿，没人认领，就收养了。
 S05 江野[平静]：二十岁那年，他把天狼送给我，说是一个故人托付的。
 S05 林小满[轻声]：你没问过是谁？
 S05 江野[抬眼]：问了。他说，等我想起来，自然就知道了。

## SEG03 — 试探（对白段·双强）
 S06 林小满[斟酌]：雷震送你天狼时你二十岁，正好是二十年前。
 S06 林小满[直视]：照片里这个测试场，你也在场吗？
 S06 江野[一顿]：我说了，我不记得。
 S07 林小满[推照片]：可照片里这个男孩，抱着一颗和你机甲里一模一样的核心。
 S07 江野[盯着照片，呼吸变重]：别再问了。

## SEG04 — 头痛（对白段·危机恐惧）
 S08 江野[按住额]：头又开始疼了。
 S08 林小满[上前一步]：江野？你怎么了？
 S09 江野[失焦]：测试场……有火。
 S09 江野[痛苦]：我看不清，什么都看不清！
 S10 林小满[扶住]：够了，别想了。
 S10 江野[喘着气]：我不记得八岁以前的事，你别逼我。
 S10 林小满[放缓]：不逼了，我错了，不逼了。

## SEG05 — 相册（对白段·平叙）
 S11 林小满[递水]：喝点水。
 S11 林小满[捡相册]：这相册，你小时候的照片？
 S11 江野[缓过来]：成年以后的。八岁以前的，一张都没有。
 S12 林小满[停住]：这张的背景，跟照片里那个测试场一样。

## SEG06 — 撕角（对白段·揭秘震撼）
 S13 林小满[举起相册]：这张合影，被人撕掉了一角。
 S13 江野[走过来]：我从没撕过它。
 S14 林小满[低声]：撕痕下面……有字。
 S14 林小满[凑近读]：对不起，小……
 S15 林小满[轻声]：'小'什么？小满？
 S15 江野[声音发紧]：我不知道。
 S15 林小满[盯着他]：这半行字，是写给我的？

## SEG07 — 同一件事（对白段·余韵）
 S16 江野[摇头]：醒来的时候，这相册就在抽屉里。
 S16 林小满[轻声]：也许是别人放的。
 S17 林小满[低声]：你八岁出事，我爷爷二十年前背锅。
 S17 林小满[一字一句]：我们俩的事，可能是同一件事。
 S17 江野[沉默良久]：那，一起查。

## SEG08 — 半行字（唯一静音段·视觉锤）

—— 共 39 行 · 说话角色 2 人：
    林小满: 21 行
    江野: 18 行
