# EP11 对白审查稿：青鸾事故
> 生成自 EP11_剧本.md · 2026-08-08 · 派生产物（剧本改后重跑本脚本），仅供人工审查

## SEG01 — 查档（对白段·碎片式）
  （SCENE-008 苏糖直播间/解说台）
 S01 苏糖[敲键盘]：找到了！行业协会的封存档案库！
 S01 苏糖[自言自语]：青鸾原型机，还真有这玩意。
 S02 苏糖[收笑]：二十年前，测试场事故。
 S02 苏糖[读档]：设计者林守正，永久禁赛。原型机，封存。
 S03 苏糖[打电话]：你爷爷当年的档案，我查到了！
 S03 苏糖[压低]：你最好亲自来看一眼。

## SEG02 — 档案（对白段·揭秘震撼）
 S04 林小满[盯着屏]：永久禁赛。
 S04 林小满[轻声]：他从没说过。
 S05 苏糖[指屏幕]：这里写，测试场失控，一台原型机损毁，还有一人重伤。
 S05 林小满[追问]：谁重伤？
 S05 苏糖[摇头]：档案里没写名字。

## SEG03 — 红章（对白段·不公感）
 S06 林小满[看着红章]：一个人扛下全部责任，然后被踢出行业。
 S06 苏糖[轻声]：这字里行间，像是有东西没写出来。
 S07 林小满[攥拳]：苏糖，把档案打一份给我。
 S07 林小满[转身]：我去问一个人。
 S07 苏糖[喊]：小满！你问谁去？
 S07 林小满[头也不回]：去问周叔。

## SEG04 — 找周叔（对白段·平叙）
  （SCENE-001 小满维修铺）
 S08 林小满[拍档案]：周叔，这个，你早就知道吧。
 S08 周正明（周叔）[看一眼]：你从哪翻出来的？
 S09 周正明（周叔）[回避]：有些事，过去就过去了。
 S09 林小满[不放过]：他被永久禁赛，这叫'过去了'？

## SEG05 — 逼问（对白段·蓄力式）
 S10 林小满[逼近]：测试场失控，怎么会是爷爷一个人的责任？
 S10 周正明（周叔）[别开脸]：事故就是事故。责任认定，是上面的意思。
 S10 林小满[追问]：上面的谁？
 S11 周正明（周叔）[搓脸]：叔求你，别查了。
 S11 林小满[一字一句]：他是我唯一的亲人。他的事，我查定了。
 S12 周正明（周叔）[失控]：他是被冤枉的！
 S12 周正明（周叔）[吼]：可证据在谁手里，谁说了算！

## SEG06 — 失言（对白段·情感爆发）
 S13 林小满[声音发颤]：周叔，你也知道他是被冤枉的，对不对？
 S13 周正明（周叔）[后退半步]：我不知道。
 S13 林小满[追问]：那证据，在谁手里？
 S14 周正明（周叔）[背身]：查下去，会出事。
 S14 周正明（周叔）[声音发沉]：你爷爷当年，也是查到了这一步。
 S14 林小满[愣住]：爷爷也查过？

## SEG07 — 夜的重量（对白段·余韵）
 S15 林小满[低声]：爷爷查到哪一步，才会被禁赛？
 S15 林小满[自语]：档案里，还藏着什么？
 S16 林小满[凑近]：这行字，被划掉了。
 S16 林小满[读残笔]：笔划像个'席'字？

## SEG08 — 席（唯一静音段·视觉锤）

—— 共 38 行 · 说话角色 3 人：
    林小满: 19 行
    苏糖: 10 行
    周正明（周叔）: 9 行
