# EP12 对白审查稿：监听器
> 生成自 EP12_剧本.md · 2026-08-08 · 派生产物（剧本改后重跑本脚本），仅供人工审查

## SEG01 — 带酒来（对白段·平叙）
  （SCENE-001 小满维修铺）
 S01 周正明（周叔）[疲惫]：今天想喝两杯，陪叔坐坐？
 S01 林小满[接过]：你有心事。
 S01 周正明（周叔）[坐下]：没有。就是想老头了。
 S02 周正明（周叔）[灌酒]：你爷爷当年，最爱在店里支个小桌喝酒。
 S02 周正明（周叔）[低声]：这些年，我总梦见这张桌子。
 S03 林小满[试探]：你跟我爷爷，是一起进的行业吧？
 S03 周正明（周叔）[眼神飘]：是啊。他带的我，手把手。
 S03 林小满[轻声]：那爷爷出事那年的事，你知道多少？

## SEG02 — 醉话（对白段·揭秘震撼）
 S04 周正明（周叔）[盯着杯底]：那天晚上，测试场的灯，全灭了。
 S04 周正明（周叔）[喃喃]：有人从测试场……带走了一个孩子。
 S05 林小满[声音发紧]：孩子？什么孩子？
 S05 周正明（周叔）[恍惚]：七八岁的男孩，抱着颗核心。
 S05 周正明（周叔）[猛地惊醒]：我，我说什么了？
 S06 周正明（周叔）[慌乱]：我喝多了。胡说八道。你当没听见。
 S06 林小满[拉住]：说清楚，什么孩子？
 S06 周正明（周叔）[挣开]：别提了！我什么都没说！

## SEG03 — 夺门（对白段·碎片式）
 S07 周正明（周叔）[喘气]：听叔一句，那个孩子的事，翻篇了。
 S07 林小满[不松口]：翻不了。那孩子，是不是江野？
 S07 周正明（周叔）[背影一震]：我不知道。
 S08 周正明（周叔）[最后一句]：别查了。有些眼睛，一直盯着这间店。

## SEG04 — 收拾（对白段·平叙）
 S09 林小满[看着纸箱]：周叔的零件……今年还没拆。
 S09 林小满[走过去]：那就拆了吧。
 S10 林小满[翻检]：每年都寄这些……也不说缺什么。
 S10 林小满[手一顿]：嗯？这个密封圈，分量不对。

## SEG05 — 异物（对白段·危机恐惧）
 S11 林小满[拆开]：这不是密封圈里的东西。
 S11 林小满[捻起来]：监听器。
 S12 林小满[环视]：这店里，还有多少？
 S12 林小满[压低]：我们说的每一句话，谁在听？
 S13 林小满[盯着监听器]：这里面有这个东西，你知道吗？
 S13 林小满[低声]：还是说，你也被骗了？

## SEG06 — 装回去（对白段·余韵）
 S14 林小满[装回]：拆了它，打草惊蛇。
 S14 林小满[自语]：留着它，我还能知道，是谁在听。
 S15 林小满[低声]：你们想听，就听着。
 S15 林小满[一字一句]：我正好，说给你们听点有意思的。

## SEG07 — 将计就计（对白段·权力翻转）
 S16 林小满[敲笔记]：青鸾、事故、孩子、监听器。
 S16 林小满[低声]：都连起来了。就差一个名字。
 S17 林小满[看手机]：天枢来电？
 S17 林小满[接起·平静]：喂，我是林小满。

## SEG08 — 眼睛（唯一静音段·视觉锤）

—— 共 38 行 · 说话角色 2 人：
    林小满: 24 行
    周正明（周叔）: 14 行
