# EP14 对白审查稿：破台子
> 生成自 EP14_剧本.md · 2026-08-08 · 派生产物（剧本改后重跑本脚本），仅供人工审查

## SEG01 — 报到（对白段·平叙）
  （SCENE-003 天枢战队基地）
 S01 林小满[环视]：天枢的维修区，比想象的大。
 S01 林小满[低声]：人也比想象的多。先摸清地形，再动手。
 S02 待补：天枢维修师[领路]：林顾问？你的工位在这边，跟我来。
 S02 林小满[跟上]：好。

## SEG02 — 破台子（对白段·不公感）
 S03 待补：天枢维修师[公事公办]：就这里。雷总监交代，你的工位。
 S03 林小满[看着台子]：这台子，几年没用了？
 S04 林小满[收拾]：台子破没关系。
 S04 林小满[自语]：手艺人，靠的是手。
 S05 待补：天枢维修师[低声]：新来的？分到这张台子，怕不是得罪人了。
 S05 待补：天枢维修师[接话]：听说还是'编外'的，来头不小，架子不小。

## SEG03 — 角落的废机（对白段·平叙）
 S06 林小满[掀开布]：报废？看着不像。
 S06 林小满[检查]：外壳是好的，核心被人掏了一半。这不是报废，是有人不想修。
 S07 林小满[挽袖子]：技术组判死刑，我偏要看看还有没有救。
 S07 林小满[拍机]：今天，你命不该绝。

## SEG04 — 开工（对白段·燃点）
 S08 林小满[手上不停]：核心缺的这块，用老工艺补。
 S08 林小满[轻声]：爷爷教的法子，正好派上用场。
 S09 待补：天枢维修师[低声]：她这手法……
 S09 待补：天枢维修师[接话]：没见过。

## SEG05 — 复活（对白段·复仇快感）
 S10 林小满[拍启动键]：起来。
 S11 林小满[擦汗]：判死刑？那是你们不会救。
 S11 林小满[对机]：行了，换条命，好好活。
 S12 待补：天枢维修师[惊叹]：就是这台？技术组判了半年死刑！
 S12 待补：天枢维修师[小声]：她一下午就给救活了？

## SEG06 — 江野路过（对白段·权力翻转）
 S13 江野[顿步]：那台备用机，报废单我签过字。
 S13 林小满[抬头]：嗯，现在它活了。
 S13 江野[走近]：谁救的？
 S13 林小满[擦手]：我。
 S14 江野[看接缝]：这种补法，技术组没人会。
 S14 林小满[随口]：他们学的都是标准流程。
 S14 江野[抬眼]：你呢？
 S14 林小满[笑]：我学的，是修好它。

## SEG07 — 刮目相看（对白段·双强）
 S15 江野[认真]：你有点东西。
 S15 林小满[挑眉]：现在才看出来？
 S15 江野[难得勾唇]：以后，天狼也交你维护。
 S16 林小满[伸手]：林小满，正式上岗。
 S16 江野[握手]：江野。
 S16 林小满[笑]：我知道你是谁。
 S16 江野[认真]：以后，你也会知道我是谁。

## SEG08 — 见过（对白段·揭秘震撼）
 S17 江野[回头]：这套修法……
 S17 江野[低声]：我在哪见过。像是谁在我耳边演示过。
 S17 林小满[愣住]：你见过？
 S18 江野[盯着纹路]：应该见过。但想不起来了。
 S18 林小满[轻声]：慢慢想。我等你。

—— 共 43 行 · 说话角色 3 人：
    林小满: 24 行
    江野: 11 行
    待补：天枢维修师: 8 行
