# EP04 对白审查稿：封灶
> 生成自 EP04_剧本.md · 2026-07-30 · 派生产物（剧本改后重跑本脚本），仅供人工审查

## SEG01 — 巡检到村（碎片式·逼近→亮相→第一句）
  （SCENE-002 盐滩村·青盐土屋前）
 S01 陆恒之[清正·平]：盐课巡检，例行查灶。
 S02 陆恒之[目光扫内·公事]：灶在何处？
 S02 沈青盐[站定·平]：在这。

## SEG02 — 宣律不跪（蓄力式·律条碾压→短句翻转）
 S03 陆恒之[查证·冷]：灶膛有卤渣，案上有盐霜。
 S04 陆恒之[正声·宣令]：依《盐律》卷三第十九条，无帖煮卤者，封灶没器。
 S04 陆恒之[略顿·看她]：灶户当跪听。
 S05 沈青盐[不动·声平]：我不是灶户。你自己说的，无帖。
 S05 陆恒之[画外·冷]：无帖煮卤便是私煮。跪不跪，同罪。

## SEG03 — 第一回合（刺探式·连问→以盐对律）
 S06 陆恒之[查·简短]：锅里煮了多少？
 S06 沈青盐[平]：一锅卤。腌了三根萝卜。
 S06 陆恒之[直起身]：一锅也是私煮。
 S07 沈青盐[指锅·不急]：大人验过这卤没有？
 S07 沈青盐[平·技术口吻]：霜土煮卤，含盐不过三分。剩下是苦卤，煮出来的盐伤人。

## SEG04 — 手记与萝卜（权力翻转·证据链→攻守易位）
 S08 沈青盐[捧书·平]：我爹留的。每一页盐理，大人翻翻，哪条是假？
 S09 陆恒之[看碟·不动]：半册残书算什么凭据。
 S09 沈青盐[画外·平]：碟里的萝卜是凭据。咸而不涩。
 S10 沈青盐[推碟·稳]：杂卤不去净腌不出这味。大人不尝，鼻子总有吧。

## SEG05 — 封灶手停（蓄力式·技术追问→裂缝→凝止）
 S11 陆恒之[手抬·锐]：提卤去苦，你用什么法子？
 S11 沈青盐[不退·平]：皂角澄卤，日头收干。三遍。
 S12 陆恒之[手停·微变]：盐课吏考核三年未必答得出。
 S12 沈青盐[平·一字一顿]：盐不认官阶。认的是手。

## SEG06 — 三日之限（碎片式·收手→宣判→留缝）
 S13 陆恒之[收手·正]：灶籍凭据，有没有？
 S13 沈青盐[平]：没有。
 S13 陆恒之[沉声]：三日。拿凭据来。否则封灶。
 S14 陆恒之[侧身·不回头]：本官认律条，不认手艺。
 S14 沈青盐[内心·目送]：三日……他没当场封灶，就还有余地。

## SEG07 — 夜灯独思（独白递进·困局→打断→来者）
  （SCENE-002 盐滩村·青盐土屋内）
 S15 沈青盐[内心·出神]：这村从前全是灶户，灶籍会在谁手里？
 S15 沈青盐[内心·拧眉]：周叔说过……灶籍定户。
 S16 周老蔫[压声·门外]：丫头，是我。开门。
 S16 沈青盐[起身·开门]：周叔？

## SEG08 — 油布包（碎片式·递物→悬念定格·H-SUS）
 S17 周老蔫[递·沉]：接着。三日够用了。
 S17 沈青盐[接·疑]：这是什么？
 S18 周老蔫[已转身·头也不回]：该你知道的时候自然知道。先收好。
 S18 沈青盐[内心·掂包裹]：沉甸甸……是纸。

—— 共 34 行 · 说话角色 3 人：
    沈青盐: 17 行
    陆恒之: 14 行
    周老蔫: 3 行
